Player,Team,POS,R/L,G,GS,IP,W,L,SV,HLD,ERA,SO,BB,H,ER,LD%
Michael King,SD,SP,R,25.9,25.9,134.7,7.8,7.1,0,0,3.92,136.7,52.1,125.5,60.3,20
Jack Flaherty,DET,SP,R,25.9,25.9,134.7,7.2,8,0,0,4.35,128.8,52.6,134.8,66.1,20.1
Logan Allen,CLE,SP,L,25.9,25.9,134.7,7.5,7.5,0,0,4.21,127.7,49,134.4,62.6,20.4
Bryan Woo,SEA,SP,R,25.9,25.9,134.7,8,7.1,0,0,4.17,141.2,45.6,123.7,64.5,20
Tyler Glasnow,LAD,SP,R,24.3,24.3,133.7,9.7,4.9,0,0,3.39,167.1,40.8,108.7,50.6,19.5
Chris Sale,ATL,SP,L,25.9,25.9,132.1,9.7,4.7,0,0,3.8,149.9,37.9,115,54.7,20
Austin Gomber,COL,SP,L,25.9,25.9,132.1,5.8,9.3,0,0,5.49,88.1,43.7,154.5,70,20.8
Zack Littell,TB,SP,R,25.9,25.9,132.1,7.5,7.8,0,0,4.78,104.7,40.9,141.3,71.3,20.4
Triston McKenzie,CLE,SP,R,25.9,25.9,132.1,7.1,7.8,0,0,4.5,135.3,46.8,122.7,65.5,20.2
Nick Lodolo,CIN,SP,L,25.9,25.9,132.1,7.8,6.5,0,0,3.9,154.5,46.8,120.6,52.9,19.9
Kyle Harrison,SF,SP,L,25.9,25.9,132.1,7.4,7.4,0,0,4.16,146.7,60.8,113.7,62.1,19.9
J.P. France,HOU,SP,R,22.7,22.7,131.7,9.2,6.4,0,0,4.84,112.4,51.2,136.1,70.8,20.4
Martin Perez,PIT,SP,L,24.3,24.3,131.2,7.4,7.8,0,0,4.71,92,50.7,143.8,69.1,20.7
Luis Severino,NYM,SP,R,25.9,25.9,129.5,7.5,7,0,0,4.21,125.2,41.8,127.6,63.2,19.9
Jake Irvin,WSH,SP,R,25.9,25.9,129.5,6,8.9,0,0,5.06,104.6,50.9,135,70.8,20.2
Edward Cabrera,MIA,SP,R,25.9,25.9,129.5,6.9,7.5,0,0,4.13,141.2,64.8,111.6,60,19.5
MacKenzie Gore,WSH,SP,L,25.9,25.9,129.5,6.4,7.9,0,0,4.26,135.8,55,118.8,59.5,19.9
Taj Bradley,TB,SP,R,25.9,25.9,129.5,7.5,7,0,0,4.26,129.9,45.2,123.6,62.2,19.8
Kutter Crawford,BOS,SP,R,25.9,25.9,129.5,7.2,7.5,0,0,4.8,121,41.2,124.6,64.8,20.2
Frankie Montas,CIN,SP,R,24.3,24.3,128.8,7.6,6.8,0,0,4.47,125.5,43.3,128.7,59,20
Ryan Pepiot,TB,SP,R,24.3,24.3,128.8,7.7,7.1,0,0,4.53,126.7,51.7,120.3,65.9,20.1
Andrew Heaney,TEX,SP,L,25.9,25.9,126.9,7.2,6.8,0,0,4.27,130.4,44.9,118.4,59.4,20.2
Michael Kopech,CHW,SP,R,25.9,25.9,126.9,5.5,9.3,0,0,5.17,123.9,69.3,117,72.4,19.9
Louie Varland,MIN,SP,R,22.7,22.7,124.9,7.6,6.6,0,0,4.17,113.7,38,122.6,59.6,20.1
Bailey Falter,PIT,SP,L,25.9,25.9,124.3,6.1,8.1,0,0,4.82,92.1,37.5,134.5,67,20.8
Luis Medina,OAK,SP,R,25.9,25.9,124.3,5.4,8.8,0,0,4.65,110.9,66.5,120,66.4,19.9
